categoryId	displayName	displayPath	lineage	coverageTier	appCategory	includeForEmbedding	embeddingPriority	annotationStatus	notes
scented-candle-jar	香薰蜡烛杯	家居装饰 / 装饰用品 / 墙面桌面装饰 / 香薰蜡烛杯	Household/Office Furniture/Furnishing / Decorative Products / Wall and Tabletop Decor / Scented Candle Jars	mvp	daily	pending	p2	pending	
artificial-flower	仿真花	家居装饰 / 装饰用品 / 家庭装饰物 / 仿真花	Home Decor / Decorative Accessories / Household Decorative Objects / Artificial Flowers	mvp	daily	pending	p1	pending	
wall-clock	挂钟	家居装饰 / 装饰用品 / 家庭装饰物 / 挂钟	Home Decor / Decorative Accessories / Household Decorative Objects / Wall Clocks	mvp	daily	pending	p1	pending	
photo-frame	相框	家居装饰 / 装饰用品 / 家庭装饰物 / 相框	Home Decor / Decorative Accessories / Household Decorative Objects / Photo Frames	mvp	daily	pending	p1	pending	
vase	花瓶	家居装饰 / 装饰用品 / 家庭装饰物 / 花瓶	Home Decor / Decorative Accessories / Household Decorative Objects / Vases	mvp	daily	pending	p1	pending	
candle	蜡烛	家居装饰 / 装饰用品 / 家庭装饰物 / 蜡烛	Home Decor / Decorative Accessories / Household Decorative Objects / Candles	mvp	daily	pending	p1	pending	
decorative-basket	装饰篮	家居装饰 / 装饰用品 / 家庭装饰物 / 装饰篮	Home Decor / Decorative Accessories / Household Decorative Objects / Decorative Baskets	mvp	daily	pending	p1	pending	
diffuser-bottle	香薰瓶	家居装饰 / 装饰用品 / 家庭装饰物 / 香薰瓶	Home Decor / Decorative Accessories / Household Decorative Objects / Diffuser Bottles	mvp	daily	pending	p1	pending	
clock-table	台钟	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 台钟	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Table Clocks	mvp	daily	pending	p1	pending	
decorative-figurine	摆件	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 摆件	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Decorative Figurines	mvp	daily	pending	p1	pending	
photo-album	相册	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 相册	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Photo Albums	mvp	daily	pending	p1	pending	
essential-oil-bottle	精油瓶	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 精油瓶	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Essential Oil Bottles	mvp	daily	pending	p1	pending	
wall-art	装饰画	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 装饰画	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Wall Art	mvp	daily	pending	p1	pending	
plant-vase	装饰花器	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 装饰花器	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Decorative Plant Vases	mvp	daily	pending	p1	pending	
mirror	镜子	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 镜子	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Mirrors	mvp	daily	pending	p1	pending	
incense-holder	香插	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 香插	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Incense Holders	mvp	daily	pending	p1	pending	
aroma-diffuser	香薰机	家居装饰 / 装饰用品 / 摆件香氛与墙面装饰 / 香薰机	Home Decor / Decorative Accessories / Decorative Objects & Fragrance Items / Aroma Diffusers	mvp	daily	pending	p1	pending	
refrigerator	冰箱	家电 / 家庭电器 / 大家电与环境电器 / 冰箱	Home Appliances / Household Appliances / Large & Climate Appliances / Refrigerators	mvp	appliance	pending	p1	pending	
humidifier	加湿器	家电 / 家庭电器 / 大家电与环境电器 / 加湿器	Home Appliances / Household Appliances / Large & Climate Appliances / Humidifiers	mvp	appliance	pending	p1	pending	
microwave-oven	微波炉	家电 / 家庭电器 / 大家电与环境电器 / 微波炉	Home Appliances / Household Appliances / Large & Climate Appliances / Microwave Ovens	mvp	appliance	pending	p1	pending	
clothes-steamer	挂烫机	家电 / 家庭电器 / 大家电与环境电器 / 挂烫机	Home Appliances / Household Appliances / Large & Climate Appliances / Garment Steamers	mvp	appliance	pending	p1	pending	
washing-machine	洗衣机	家电 / 家庭电器 / 大家电与环境电器 / 洗衣机	Home Appliances / Household Appliances / Large & Climate Appliances / Washing Machines	mvp	appliance	pending	p1	pending	
electric-iron	电熨斗	家电 / 家庭电器 / 大家电与环境电器 / 电熨斗	Home Appliances / Household Appliances / Large & Climate Appliances / Electric Irons	mvp	appliance	pending	p1	pending	
induction-cooker	电磁炉	家电 / 家庭电器 / 大家电与环境电器 / 电磁炉	Home Appliances / Household Appliances / Large & Climate Appliances / Induction Cookers	mvp	appliance	pending	p1	pending	
electric-fan	电风扇	家电 / 家庭电器 / 大家电与环境电器 / 电风扇	Home Appliances / Household Appliances / Large & Climate Appliances / Electric Fans	mvp	appliance	pending	p1	pending	
air-purifier	空气净化器	家电 / 家庭电器 / 大家电与环境电器 / 空气净化器	Home Appliances / Household Appliances / Large & Climate Appliances / Air Purifiers	mvp	appliance	pending	p1	pending	
air-fryer	空气炸锅	家电 / 家庭电器 / 大家电与环境电器 / 空气炸锅	Home Appliances / Household Appliances / Large & Climate Appliances / Air Fryers	mvp	appliance	pending	p1	pending	
air-conditioner	空调	家电 / 家庭电器 / 大家电与环境电器 / 空调	Home Appliances / Household Appliances / Large & Climate Appliances / Air Conditioners	mvp	appliance	pending	p1	pending	
dehumidifier	除湿机	家电 / 家庭电器 / 大家电与环境电器 / 除湿机	Home Appliances / Household Appliances / Large & Climate Appliances / Dehumidifiers	mvp	appliance	pending	p1	pending	
projector	投影仪	家电 / 家庭电器 / 家用电器补充 / 投影仪	Home Appliance / Home Appliances / Additional Home Appliances / Projectors	mvp	appliance	pending	p2	pending	
smart-speaker	智能音箱	家电 / 家庭电器 / 家用电器补充 / 智能音箱	Home Appliance / Home Appliances / Additional Home Appliances / Smart Speakers	mvp	appliance	pending	p2	pending	
set-top-box	机顶盒	家电 / 家庭电器 / 家用电器补充 / 机顶盒	Home Appliance / Home Appliances / Additional Home Appliances / Set Top Boxes	mvp	appliance	pending	p2	pending	
dishwasher	洗碗机	家电 / 家庭电器 / 家用电器补充 / 洗碗机	Home Appliance / Home Appliances / Additional Home Appliances / Dishwashers	mvp	appliance	pending	p2	pending	
mosquito-killer-lamp	灭蚊灯	家电 / 家庭电器 / 家用电器补充 / 灭蚊灯	Home Appliance / Home Appliances / Additional Home Appliances / Mosquito Killer Lamps	mvp	appliance	pending	p2	pending	
electric-oven	电烤箱	家电 / 家庭电器 / 家用电器补充 / 电烤箱	Home Appliance / Home Appliances / Additional Home Appliances / Electric Ovens	mvp	appliance	pending	p2	pending	
electric-mosquito-swatter	电蚊拍	家电 / 家庭电器 / 家用电器补充 / 电蚊拍	Home Appliance / Home Appliances / Additional Home Appliances / Electric Mosquito Swatters	mvp	appliance	pending	p2	pending	
air-circulator	空气循环扇	家电 / 家庭电器 / 家用电器补充 / 空气循环扇	Home Appliance / Home Appliances / Additional Home Appliances / Air Circulators	mvp	appliance	pending	p2	pending	
dehumidifier-box	除湿机	家电 / 家庭电器 / 家用电器补充 / 除湿机	Home Appliance / Home Appliances / Additional Home Appliances / Dehumidifiers	mvp	appliance	pending	p2	pending	
water-dispenser	饮水机	家电 / 家庭电器 / 家用电器补充 / 饮水机	Home Appliance / Home Appliances / Additional Home Appliances / Water Dispensers	mvp	appliance	pending	p2	pending	
heater	取暖器	家电 / 小家电 / 厨房生活电器 / 取暖器	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Heaters	mvp	appliance	pending	p2	pending	
coffee-machine	咖啡机	家电 / 小家电 / 厨房生活电器 / 咖啡机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Coffee Machines	mvp	appliance	pending	p2	pending	
robot-vacuum	扫地机器人	家电 / 小家电 / 厨房生活电器 / 扫地机器人	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Robot Vacuums	mvp	appliance	pending	p2	pending	
garment-steamer	挂烫机	家电 / 小家电 / 厨房生活电器 / 挂烫机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Garment Steamers	mvp	appliance	pending	p2	pending	
blender	料理机	家电 / 小家电 / 厨房生活电器 / 料理机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Blenders	mvp	appliance	pending	p2	pending	
juicer	榨汁机	家电 / 小家电 / 厨房生活电器 / 榨汁机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Juicers	mvp	appliance	pending	p2	pending	
toaster	烤面包机	家电 / 小家电 / 厨房生活电器 / 烤面包机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Toasters	mvp	appliance	pending	p2	pending	
electric-pressure-cooker	电压力锅	家电 / 小家电 / 厨房生活电器 / 电压力锅	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Electric Pressure Cookers	mvp	appliance	pending	p2	pending	
electric-grill	电烤盘	家电 / 小家电 / 厨房生活电器 / 电烤盘	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Electric Grills	mvp	appliance	pending	p2	pending	
food-processor	破壁机	家电 / 小家电 / 厨房生活电器 / 破壁机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Food Processors	mvp	appliance	pending	p2	pending	
soy-milk-maker	豆浆机	家电 / 小家电 / 厨房生活电器 / 豆浆机	Home Appliance / Small Domestic Appliances / Kitchen and Home Appliances / Soy Milk Makers	mvp	appliance	pending	p2	pending	
vacuum-cleaner	吸尘器	家电 / 小家电 / 家庭电器 / 吸尘器	Appliances / Small Domestic Appliances / Household Electrical Appliances / Vacuum Cleaners	mvp	appliance	pending	p1	pending	
hair-dryer	吹风机	家电 / 小家电 / 家庭电器 / 吹风机	Appliances / Small Domestic Appliances / Household Electrical Appliances / Hair Dryers	mvp	appliance	pending	p1	pending	
electric-kettle	电水壶	家电 / 小家电 / 家庭电器 / 电水壶	Appliances / Small Domestic Appliances / Household Electrical Appliances / Electric Kettles	mvp	appliance	pending	p1	pending	
rice-cooker	电饭煲	家电 / 小家电 / 家庭电器 / 电饭煲	Appliances / Small Domestic Appliances / Household Electrical Appliances / Rice Cookers	mvp	appliance	pending	p1	pending	
air-purifier-filter	空气净化器滤芯	家电 / 小家电 / 家庭电器 / 空气净化器滤芯	Appliances / Small Domestic Appliances / Household Electrical Appliances / Air Purifier Filters	mvp	appliance	pending	p1	pending	
router	路由器	家电 / 小家电 / 家庭电器 / 路由器	Appliances / Small Domestic Appliances / Household Electrical Appliances / Network Routers	mvp	appliance	pending	p1	pending	
remote-control	遥控器	家电 / 小家电 / 家庭电器 / 遥控器	Appliances / Small Domestic Appliances / Household Electrical Appliances / Remote Controls	seed	appliance	pending	p0	pending	
entrance-rug	入户地毯	家纺 / 家庭纺织品 / 家庭纺织补充 / 入户地毯	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Entrance Rugs	mvp	daily	pending	p2	pending	
apron-set	围裙套装	家纺 / 家庭纺织品 / 家庭纺织补充 / 围裙套装	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Apron Sets	mvp	daily	pending	p2	pending	
floor-mat	地垫	家纺 / 家庭纺织品 / 家庭纺织补充 / 地垫	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Floor Mats	mvp	daily	pending	p2	pending	
mattress-protector	床垫保护垫	家纺 / 家庭纺织品 / 家庭纺织补充 / 床垫保护垫	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Mattress Protectors	mvp	daily	pending	p2	pending	
chair-cushion	椅垫	家纺 / 家庭纺织品 / 家庭纺织补充 / 椅垫	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Chair Cushions	mvp	daily	pending	p2	pending	
sofa-cover	沙发套	家纺 / 家庭纺织品 / 家庭纺织补充 / 沙发套	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Sofa Covers	mvp	daily	pending	p2	pending	
bathrobe	浴袍	家纺 / 家庭纺织品 / 家庭纺织补充 / 浴袍	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Bathrobes	mvp	daily	pending	p2	pending	
mosquito-net	蚊帐	家纺 / 家庭纺织品 / 家庭纺织补充 / 蚊帐	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Mosquito Nets	mvp	daily	pending	p2	pending	
pot-holder	隔热垫	家纺 / 家庭纺织品 / 家庭纺织补充 / 隔热垫	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Pot Holders	mvp	daily	pending	p2	pending	
oven-mitt	隔热手套	家纺 / 家庭纺织品 / 家庭纺织补充 / 隔热手套	Household/Office Furniture/Furnishing / Home Textiles / Additional Household Textiles / Oven Mitts	mvp	daily	pending	p2	pending	
hand-towel	手巾	家纺 / 家庭纺织品 / 床品毛巾 / 手巾	Household/Office Furniture/Furnishing / Home Textiles / Household Textiles / Hand Towels	mvp	daily	pending	p2	pending	
face-towel	毛巾	家纺 / 家庭纺织品 / 床品毛巾 / 毛巾	Household/Office Furniture/Furnishing / Home Textiles / Household Textiles / Face Towels	mvp	daily	pending	p2	pending	
throw-blanket	盖毯	家纺 / 家庭纺织品 / 床品毛巾 / 盖毯	Household/Office Furniture/Furnishing / Home Textiles / Household Textiles / Throw Blankets	mvp	daily	pending	p2	pending	
curtain-tieback	窗帘绑带	家纺 / 家庭纺织品 / 床品毛巾 / 窗帘绑带	Household/Office Furniture/Furnishing / Home Textiles / Household Textiles / Curtain Tiebacks	mvp	daily	pending	p2	pending	
duvet-cover	被套	家纺 / 家庭纺织品 / 床品毛巾 / 被套	Household/Office Furniture/Furnishing / Home Textiles / Household Textiles / Duvet Covers	mvp	daily	pending	p2	pending	
placemat	餐垫	家纺 / 家庭纺织品 / 床品毛巾 / 餐垫	Household/Office Furniture/Furnishing / Home Textiles / Household Textiles / Placemats	mvp	daily	pending	p2	pending	
apron	围裙	家纺 / 家庭纺织品 / 床品窗帘与软装 / 围裙	Home Textiles / Household Textiles / Bedding & Soft Furnishings / Aprons	mvp	daily	pending	p1	pending	
mattress-pad	床垫保护垫	家纺 / 家庭纺织品 / 床品窗帘与软装 / 床垫保护垫	Home Textiles / Household Textiles / Bedding & Soft Furnishings / Mattress Pads	mvp	daily	pending	p1	pending	
pillow	枕头	家纺 / 家庭纺织品 / 床品窗帘与软装 / 枕头	Home Textiles / Household Textiles / Bedding & Soft Furnishings / Pillows	mvp	daily	pending	p1	pending	
curtain	窗帘	家纺 / 家庭纺织品 / 床品窗帘与软装 / 窗帘	Home Textiles / Household Textiles / Bedding & Soft Furnishings / Curtains	mvp	daily	pending	p1	pending	
quilt	被子	家纺 / 家庭纺织品 / 床品窗帘与软装 / 被子	Home Textiles / Household Textiles / Bedding & Soft Furnishings / Quilts & Duvets	mvp	daily	pending	p1	pending	
doormat	门垫	家纺 / 家庭纺织品 / 床品窗帘与软装 / 门垫	Home Textiles / Household Textiles / Bedding & Soft Furnishings / Doormats	mvp	daily	pending	p1	pending	
bed-sheet	床单	家纺 / 家庭纺织品 / 毛巾床品与软装 / 床单	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Bed Sheets	mvp	daily	pending	p1	pending	
cushion-cover	抱枕套	家纺 / 家庭纺织品 / 毛巾床品与软装 / 抱枕套	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Cushion Covers	mvp	daily	pending	p1	pending	
pillowcase	枕套	家纺 / 家庭纺织品 / 毛巾床品与软装 / 枕套	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Pillowcases	mvp	daily	pending	p1	pending	
tablecloth	桌布	家纺 / 家庭纺织品 / 毛巾床品与软装 / 桌布	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Tablecloths	mvp	daily	pending	p1	pending	
towel	毛巾	家纺 / 家庭纺织品 / 毛巾床品与软装 / 毛巾	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Towels	mvp	daily	pending	p1	pending	
blanket	毯子	家纺 / 家庭纺织品 / 毛巾床品与软装 / 毯子	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Blankets	mvp	daily	pending	p1	pending	
bath-towel	浴巾	家纺 / 家庭纺织品 / 毛巾床品与软装 / 浴巾	Home Textiles / Household Linens / Towels, Bedding & Soft Furnishings / Bath Towels	mvp	daily	pending	p1	pending	
cosmetic-organizer	化妆品收纳盒	居家收纳 / 收纳整理 / 家庭收纳容器 / 化妆品收纳盒	Home & Garden / Storage & Organization / Household Storage Containers / Cosmetic Organizers	mvp	daily	pending	p1	pending	
underbed-storage-box	床底收纳箱	居家收纳 / 收纳整理 / 家庭收纳容器 / 床底收纳箱	Home & Garden / Storage & Organization / Household Storage Containers / Underbed Storage Boxes	mvp	daily	pending	p1	pending	
folding-storage-crate	折叠收纳筐	居家收纳 / 收纳整理 / 家庭收纳容器 / 折叠收纳筐	Home & Garden / Storage & Organization / Household Storage Containers / Folding Storage Crates	mvp	daily	pending	p1	pending	
drawer-organizer	抽屉分隔盒	居家收纳 / 收纳整理 / 家庭收纳容器 / 抽屉分隔盒	Home & Garden / Storage & Organization / Household Storage Containers / Drawer Organizers	mvp	daily	pending	p1	pending	
storage-drawer-unit	抽屉式收纳柜	居家收纳 / 收纳整理 / 家庭收纳容器 / 抽屉式收纳柜	Home & Garden / Storage & Organization / Household Storage Containers / Storage Drawer Units	mvp	daily	pending	p1	pending	
hanging-storage-bag	挂式收纳袋	居家收纳 / 收纳整理 / 家庭收纳容器 / 挂式收纳袋	Home & Garden / Storage & Organization / Household Storage Containers / Hanging Storage Bags	mvp	daily	pending	p1	pending	
storage-box	收纳盒	居家收纳 / 收纳整理 / 家庭收纳容器 / 收纳盒	Home & Garden / Storage & Organization / Household Storage Containers / Storage Boxes	seed	daily	pending	p0	pending	
storage-basket	收纳篮	居家收纳 / 收纳整理 / 家庭收纳容器 / 收纳篮	Home & Garden / Storage & Organization / Household Storage Containers / Storage Baskets	mvp	daily	pending	p1	pending	
document-storage-box	文件收纳箱	居家收纳 / 收纳整理 / 家庭收纳容器 / 文件收纳箱	Home & Garden / Storage & Organization / Household Storage Containers / Document Storage Boxes	mvp	daily	pending	p1	pending	
desktop-organizer	桌面收纳架	居家收纳 / 收纳整理 / 家庭收纳容器 / 桌面收纳架	Home & Garden / Storage & Organization / Household Storage Containers / Desktop Organizers	mvp	daily	pending	p1	pending	
vacuum-storage-bag	真空压缩袋	居家收纳 / 收纳整理 / 家庭收纳容器 / 真空压缩袋	Home & Garden / Storage & Organization / Household Storage Containers / Vacuum Storage Bags	mvp	daily	pending	p1	pending	
cable-organizer-box	线缆收纳盒	居家收纳 / 收纳整理 / 家庭收纳容器 / 线缆收纳盒	Home & Garden / Storage & Organization / Household Storage Containers / Cable Organizer Boxes	mvp	daily	pending	p1	pending	
closet-organizer	衣柜收纳格	居家收纳 / 收纳整理 / 家庭收纳容器 / 衣柜收纳格	Home & Garden / Storage & Organization / Household Storage Containers / Closet Organizers	mvp	daily	pending	p1	pending	
shoe-box	鞋盒	居家收纳 / 收纳整理 / 家庭收纳容器 / 鞋盒	Home & Garden / Storage & Organization / Household Storage Containers / Shoe Storage Boxes	mvp	daily	pending	p1	pending	
jewelry-box	首饰盒	居家收纳 / 收纳整理 / 家庭收纳容器 / 首饰盒	Home & Garden / Storage & Organization / Household Storage Containers / Jewelry Boxes	mvp	daily	pending	p1	pending	
underwear-organizer	内衣收纳盒	居家收纳 / 收纳整理 / 家庭收纳用品 / 内衣收纳盒	Home/Garden / Storage Organization / Household Organizers / Underwear Organizers	mvp	daily	pending	p2	pending	
cable-tie-pack	扎带包	居家收纳 / 收纳整理 / 家庭收纳用品 / 扎带包	Home/Garden / Storage Organization / Household Organizers / Cable Tie Packs	mvp	daily	pending	p2	pending	
folding-storage-bag	折叠收纳袋	居家收纳 / 收纳整理 / 家庭收纳用品 / 折叠收纳袋	Home/Garden / Storage Organization / Household Organizers / Folding Storage Bags	mvp	daily	pending	p2	pending	
drawer-storage-box	抽屉收纳盒	居家收纳 / 收纳整理 / 家庭收纳用品 / 抽屉收纳盒	Home/Garden / Storage Organization / Household Organizers / Drawer Storage Boxes	mvp	daily	pending	p2	pending	
hanging-closet-shelf	挂式衣柜收纳架	居家收纳 / 收纳整理 / 家庭收纳用品 / 挂式衣柜收纳架	Home/Garden / Storage Organization / Household Organizers / Hanging Closet Shelves	mvp	daily	pending	p2	pending	
storage-label-sticker	收纳标签贴	居家收纳 / 收纳整理 / 家庭收纳用品 / 收纳标签贴	Home/Garden / Storage Organization / Household Organizers / Storage Label Stickers	mvp	daily	pending	p2	pending	
laundry-bag	洗衣袋	居家收纳 / 收纳整理 / 家庭收纳用品 / 洗衣袋	Home/Garden / Storage Organization / Household Organizers / Laundry Bags	mvp	daily	pending	p2	pending	
toy-storage-bin	玩具收纳桶	居家收纳 / 收纳整理 / 家庭收纳用品 / 玩具收纳桶	Home/Garden / Storage Organization / Household Organizers / Toy Storage Bins	mvp	daily	pending	p2	pending	
vacuum-bag-pump	真空袋抽气泵	居家收纳 / 收纳整理 / 家庭收纳用品 / 真空袋抽气泵	Home/Garden / Storage Organization / Household Organizers / Vacuum Bag Pumps	mvp	daily	pending	p2	pending	
medicine-storage-box	药品收纳盒	居家收纳 / 收纳整理 / 家庭收纳用品 / 药品收纳盒	Home/Garden / Storage Organization / Household Organizers / Medicine Storage Boxes	mvp	daily	pending	p2	pending	
closet-storage-box	衣柜收纳箱	居家收纳 / 收纳整理 / 家庭收纳用品 / 衣柜收纳箱	Home/Garden / Storage Organization / Household Organizers / Closet Storage Boxes	mvp	daily	pending	p2	pending	
shoe-storage-rack	鞋收纳架	居家收纳 / 收纳整理 / 家庭收纳用品 / 鞋收纳架	Home/Garden / Storage Organization / Household Organizers / Shoe Storage Racks	mvp	daily	pending	p2	pending	
book-storage-box	书本收纳盒	居家收纳 / 收纳整理 / 收纳家具补充 / 书本收纳盒	Home/Garden / Storage Organization / Additional Household Storage / Book Storage Boxes	mvp	daily	pending	p2	pending	
kitchen-storage-rack	厨房置物架	居家收纳 / 收纳整理 / 收纳家具补充 / 厨房置物架	Home/Garden / Storage Organization / Additional Household Storage / Kitchen Storage Racks	mvp	daily	pending	p2	pending	
plastic-drawer-cabinet	塑料抽屉柜	居家收纳 / 收纳整理 / 收纳家具补充 / 塑料抽屉柜	Home/Garden / Storage Organization / Additional Household Storage / Plastic Drawer Cabinets	mvp	daily	pending	p2	pending	
toolbox	工具箱	居家收纳 / 收纳整理 / 收纳家具补充 / 工具箱	Home/Garden / Storage Organization / Additional Household Storage / Toolboxes	mvp	daily	pending	p2	pending	
storage-ottoman	收纳凳	居家收纳 / 收纳整理 / 收纳家具补充 / 收纳凳	Home/Garden / Storage Organization / Additional Household Storage / Storage Ottomans	mvp	daily	pending	p2	pending	
rolling-storage-cart	收纳小推车	居家收纳 / 收纳整理 / 收纳家具补充 / 收纳小推车	Home/Garden / Storage Organization / Additional Household Storage / Rolling Storage Carts	mvp	daily	pending	p2	pending	
bathroom-storage-rack	浴室收纳架	居家收纳 / 收纳整理 / 收纳家具补充 / 浴室收纳架	Home/Garden / Storage Organization / Additional Household Storage / Bathroom Storage Racks	mvp	daily	pending	p2	pending	
photo-storage-box	照片收纳盒	居家收纳 / 收纳整理 / 收纳家具补充 / 照片收纳盒	Home/Garden / Storage Organization / Additional Household Storage / Photo Storage Boxes	mvp	daily	pending	p2	pending	
metal-storage-rack	金属置物架	居家收纳 / 收纳整理 / 收纳家具补充 / 金属置物架	Home/Garden / Storage Organization / Additional Household Storage / Metal Storage Racks	mvp	daily	pending	p2	pending	
sewing-box	针线收纳盒	居家收纳 / 收纳整理 / 收纳家具补充 / 针线收纳盒	Home/Garden / Storage Organization / Additional Household Storage / Sewing Boxes	mvp	daily	pending	p2	pending	
flashlight	手电筒	工具五金 / 五金工具 / 紧固安全与小五金 / 手电筒	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Flashlights	mvp	tool	pending	p1	pending	
wall-hook	挂钩	工具五金 / 五金工具 / 紧固安全与小五金 / 挂钩	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Wall Hooks	mvp	tool	pending	p1	pending	
padlock	挂锁	工具五金 / 五金工具 / 紧固安全与小五金 / 挂锁	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Padlocks	mvp	tool	pending	p1	pending	
fire-extinguisher	灭火器	工具五金 / 五金工具 / 紧固安全与小五金 / 灭火器	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Fire Extinguishers	mvp	tool	pending	p1	pending	
smoke-alarm	烟雾报警器	工具五金 / 五金工具 / 紧固安全与小五金 / 烟雾报警器	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Smoke Alarms	mvp	tool	pending	p1	pending	
glue-gun	热熔胶枪	工具五金 / 五金工具 / 紧固安全与小五金 / 热熔胶枪	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Glue Guns	mvp	tool	pending	p1	pending	
utility-knife	美工刀	工具五金 / 五金工具 / 紧固安全与小五金 / 美工刀	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Utility Knives	mvp	tool	pending	p1	pending	
screw-box	螺丝盒	工具五金 / 五金工具 / 紧固安全与小五金 / 螺丝盒	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Screw Boxes	mvp	tool	pending	p1	pending	
nail-box	钉子盒	工具五金 / 五金工具 / 紧固安全与小五金 / 钉子盒	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Nail Boxes	mvp	tool	pending	p1	pending	
keyring	钥匙圈	工具五金 / 五金工具 / 紧固安全与小五金 / 钥匙圈	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Key Rings	mvp	tool	pending	p1	pending	
door-lock	门锁	工具五金 / 五金工具 / 紧固安全与小五金 / 门锁	Tools & Hardware / Household Hardware / Fasteners, Safety & Small Hardware / Door Locks	mvp	tool	pending	p1	pending	
carbon-monoxide-alarm	一氧化碳报警器	工具五金 / 家庭安全 / 安全防护 / 一氧化碳报警器	Safety/Security/Surveillance / Home Safety / Home Safety Products / Carbon Monoxide Alarms	mvp	appliance	pending	p2	pending	
child-safety-lock	儿童安全锁	工具五金 / 家庭安全 / 安全防护 / 儿童安全锁	Safety/Security/Surveillance / Home Safety / Home Safety Products / Child Safety Locks	mvp	tool	pending	p2	pending	
reflective-vest	反光背心	工具五金 / 家庭安全 / 安全防护 / 反光背心	Safety/Security/Surveillance / Home Safety / Home Safety Products / Reflective Vests	mvp	tool	pending	p2	pending	
doorbell-camera	可视门铃	工具五金 / 家庭安全 / 安全防护 / 可视门铃	Safety/Security/Surveillance / Home Safety / Home Safety Products / Doorbell Cameras	mvp	appliance	pending	p2	pending	
furniture-anchor-strap	家具防倾倒带	工具五金 / 家庭安全 / 安全防护 / 家具防倾倒带	Safety/Security/Surveillance / Home Safety / Home Safety Products / Furniture Anchor Straps	mvp	tool	pending	p2	pending	
emergency-light	应急灯	工具五金 / 家庭安全 / 安全防护 / 应急灯	Safety/Security/Surveillance / Home Safety / Home Safety Products / Emergency Lights	mvp	appliance	pending	p2	pending	
first-aid-blanket	急救毯	工具五金 / 家庭安全 / 安全防护 / 急救毯	Safety/Security/Surveillance / Home Safety / Home Safety Products / First Aid Blankets	mvp	medicine	pending	p2	pending	
gas-alarm	燃气报警器	工具五金 / 家庭安全 / 安全防护 / 燃气报警器	Safety/Security/Surveillance / Home Safety / Home Safety Products / Gas Alarms	mvp	appliance	pending	p2	pending	
